Date,OutsideTemp,InsideTemp,CPUTemp,RawData
Date,OutsideTemp,InsideTemp,CPUTemp,RawData
Date,OutsideTemp,InsideTemp,CPUTemp,RawData
4/20/2013 10:27:46 PM,55,,98.6899999999999,
Date,OutsideTemp,InsideTemp,CPUTemp,RawData
Date,OutsideTemp,InsideTemp,CPUTemp,RawData
